"","SocCode","n","SOC Broad Occupation","SOC Minor Occupation","OCCSOC","ACS_occupation"
"408","27-1022",533,"27-1020","27-1000","27-102X","27-102X"
"409","27-1023",533,"27-1020","27-1000","27-102X","27-102X"
"410","27-1024",533,"27-1020","27-1000","27-102X","27-102X"
"411","27-1025",533,"27-1020","27-1000","27-102X","27-102X"
"412","27-1026",533,"27-1020","27-1000","27-102X","27-102X"
"413","27-1027",533,"27-1020","27-1000","27-102X","27-102X"
"414","27-1029",533,"27-1020","27-1000","27-102X","27-102X"
"415","29-1122",533,"29-1120","29-1000","29-112X","29-112X"
"416","29-1123",533,"29-1120","29-1000","29-112X","29-112X"
"417","29-1124",533,"29-1120","29-1000","29-112X","29-112X"
"418","29-1125",533,"29-1120","29-1000","29-112X","29-112X"
"419","29-1126",533,"29-1120","29-1000","29-112X","29-112X"
"420","29-1127",533,"29-1120","29-1000","29-112X","29-112X"
"421","29-1128",533,"29-1120","29-1000","29-112X","29-112X"
"422","29-1129",533,"29-1120","29-1000","29-112X","29-112X"
"423","29-2031",533,"29-2030","29-2000","29-203X","29-203X"
"424","29-2032",533,"29-2030","29-2000","29-203X","29-203X"
"425","29-2033",533,"29-2030","29-2000","29-203X","29-203X"
"426","29-2034",533,"29-2030","29-2000","29-203X","29-203X"
"427","29-2035",533,"29-2030","29-2000","29-203X","29-203X"
"428","29-2036",533,"29-2030","29-2000","29-203X","29-203X"
